chunk_id,tag,title,section,url,text
0,eligibility,Free IIT-JEE Coaching for Poor Students | Top Neurons,Notice Board,https://www.topneurons.org/,"The Eligibility Criterion for Application is Changed: Students who passed Class 10 (CBSE Board) in the 2025–26 academic session with 85% or above may apply. For other state boards, Minimum passing marks is 90%. For those boards where the results has not been declared, Class 9 marks will be considered. Top Neurons Batch 7 Phase 1 & Phase 2 2026 Mains Exam Online Result Declared - 13 April 2026. To view the result click here Top Neurons Batch 7 Phase 1 & Phase 2 2026 Preliminary Exam Online Result Declared - 13 April 2026. To view the result click here RBSE Board Class 10th (2025-26) results have been declared. Only students who have secured 92% or above in Science and Maths can apply for Prelims Exam. Top Neurons Batch 7 Phase 1 & Phase 2 2026 Preliminary Exam Online Result Declared - 24 Mar 2026. To view the result click here The Eligibility Criterion for Application is Changed: Students who passed Class 10 (CBSE Board) in the 2025–26 academic session with 85% or above may apply. For other state boards, Minimum passing marks is 90%. For those boards where the results has not been declared, Class 9 marks will be considered. Top Neurons Batch 7 Phase 1 & Phase 2 2026 Mains Exam Online Result Declared - 13 April 2026. To view the result click here Top Neurons Batch 7 Phase 1 & Phase 2 2026 Preliminary Exam Online Result Declared - 13 April 2026. To view the result click"
1,eligibility,Free IIT-JEE Coaching for Poor Students | Top Neurons,Notice Board,https://www.topneurons.org/,considered. Top Neurons Batch 7 Phase 1 & Phase 2 2026 Mains Exam Online Result Declared - 13 April 2026. To view the result click here Top Neurons Batch 7 Phase 1 & Phase 2 2026 Preliminary Exam Online Result Declared - 13 April 2026. To view the result click here RBSE Board Class 10th (2025-26) results have been declared. Only students who have secured 92% or above in Science and Maths can apply for Prelims Exam. Top Neurons Batch 7 Phase 1 & Phase 2 2026 Preliminary Exam Online Result Declared - 24 Mar 2026. To view the result click here
2,about,Free IIT-JEE Coaching for Poor Students | Top Neurons,Mission,https://www.topneurons.org/,"The mission of Top Neurons, an initiative of Pratham Shiksha Charitable Trust, is to provide free, high-quality education and academic support to economically weaker and underprivileged students across India. Our goal is to bridge the educational gap by ensuring that talented and deserving students have access to the resources, guidance, and opportunities they need to succeed in their academic journeys. We are committed to nurturing young minds by offering structured learning programs, expert mentorship, and a disciplined study environment that promotes both academic excellence and personal growth. Through our initiatives, we aim to prepare students for competitive examinations such as engineering and medical entrance tests while also strengthening their foundational knowledge and critical thinking skills. At Top Neurons, we believe that education is not only about academic achievement but also about building character, confidence, and strong ethical values. Our mission is to create a supportive and inclusive learning environment that encourages curiosity, creativity, and a passion for lifelong learning. By empowering students with knowledge, skills, and values, we strive to help them overcome social and economic barriers and build a brighter future for themselves and their communities."
3,program,Free IIT-JEE Coaching for Poor Students | Top Neurons,Vision,https://www.topneurons.org/,"The vision of Top Neurons is to create a society where every talented student, regardless of financial background, has equal access to quality education and opportunities for success. We envision building a generation of educated, confident, and socially responsible individuals who contribute positively to the growth and development of the nation. Our long-term goal is to transform the lives of thousands of students by helping them realize their potential and achieve their dreams through education. By promoting academic excellence, innovation, and strong moral values, we aim to shape future leaders, professionals, and changemakers who will play a meaningful role in building a progressive and inclusive society. Through continuous improvement in teaching methods, mentorship programs, and student support systems, Top Neurons strives to make education accessible, meaningful, and inspiring. Our vision is to ensure that every student we support gains not only knowledge but also the confidence, discipline, and determination needed to achieve their full potential and make a lasting impact on the world."
5,program,About Us - Top Neurons,Top Neurons,https://www.topneurons.org/about-us/,"Prem Shanti Charitable Trust is a registered trust in Jaipur, Rajasthan, which primarily aims at welfare of the poor and underprivileged section of Indian society. Pratham Shiksha Charitable Trust, which shares a strong commitment to education and social welfare, collaborates with Prem Shanti Charitable Trust in supporting this transformative initiative. The trust has started a highly ambitious program “Top Neurons” for underprivileged but highly talented students. Many students with talent and intelligence couldn’t come forward due to poverty and they either cannot go to a college or they have to settle with ordinary colleges and finally gets very low paying jobs. This program selects such students from Class X who want to go to the top Engineering, Medical, Science colleges of India. This program helps these students economically and socially for two years when these students are in 11th and 12th class. The facilities like coaching from Top Coaching Institutes of India, P.G. Hostel, books and reading material, mentoring, etc. are provided in these two years. Our target is that most of these students can be selected into Top universities of India such as IISC, IISER, IIT, AIIMS, JIPMER, AFMC, etc.,"
6,program,About Us - Top Neurons,Other Activities in Healthcare and Education,https://www.topneurons.org/about-us/,"The trust has done various activities in the areas of Healthcare and Education since 2013. Free Medical Camps, various eye-related surgeries including more than 500+ eye cataract surgeries have been performed for underprivileged people in Bharatpur District of Rajasthan. These surgeries are being done at good private hospitals where it was not possible for these people to afford. The trust has provided woollen clothes, books, stationery etc, in various government schools of Jaipur and Bharatpur district. Trust has also contributed in making classrooms and other infrastructure in government schools."
7,about,About Us - Top Neurons,Vision,https://www.topneurons.org/about-us/,"To give leaders to the world, who can make a significant positive impact, and will make this earth a better place for all kind of life to flourish."
8,benefits,About Us - Top Neurons,Mission,https://www.topneurons.org/about-us/,To search the highly talented and god gifted school going children from the underprivileged society. To provide them the best social and economic resources so that they can go to the best universities of the world. Help them in unleashing their talent and mentor them. To give them the right moral values. Get them ready so that they started giving back to the society To search the highly talented and god gifted school going children from the underprivileged society. To provide them the best social and economic resources so that they can go to the best universities of the world. Help them in unleashing their talent and mentor them. Get them ready so that they started giving back to the society
9,exam,About Us - Top Neurons,Ashish Arora,https://www.topneurons.org/about-us/,"Ashish Arora is a renowned educator, author, career mentor & Edtech professional. His students have stood at top ranks in JEE & NEET including All India Rank-1 and ranks among All India Top-100. He has a passion for use of technology in academics, academic management. He has leaded many large-scale successful eLearning initiatives. He is Founder of Physicsgalaxy and he has more than 1.18M Subscribers on Physics Galaxy Youtube Channel. He also authored many books including Physics Galaxy Series of Books of total 12 volumes. Some of them have been in the bestseller category on Amazon."
10,about,About Us - Top Neurons,Ashok Mittal,https://www.topneurons.org/about-us/,"Ashok Mittal is a renowned businessman from the city of Alwar, Rajasthan. He is a trustee of Prem Shanti Charitable Trust. He is a social worker and has been at various positions at Lions Club President, President and Regional Zone Secretary at one of the region Bharat Vikas Parishad."
11,eligibility,About Us - Top Neurons,Prabhat Mittal,https://www.topneurons.org/about-us/,"Prabhat Mittal lives in Peoria, Illinois, USA. He is currently working with Caterpillar as Global Leader in Product Engineering and Management. He has done engineering from MBM Jodhpur, P.G. from Marquette University Illinois USA and MBA from Indiana Wesleyan University. He is also a Board Member of Indo American Society of Peoria Illinois USA."
12,exam,About Us - Top Neurons,Puneet Mittal,https://www.topneurons.org/about-us/,"Puneet has interest in health and education sector and has been associated with social work for many years. Puneet has an interest in Software, Education and health care technology. His favourite subjects are Maths and Physics. He also enjoy solving puzzles and playing chess. He reads lot of books in the areas of popular science."
13,success,About Us - Top Neurons,Pratibha Gupta,https://www.topneurons.org/about-us/,"Pratibha, an IITian (Chemical Engineering) and M.S. (Computer Science) from University of Southern California, is a Principal Software Engineer at Oracle. She has led pioneering web services security projects and holds multiple patents. Driven by her belief in putting heart, mind, and soul into every endeavor, Pratibha exemplifies passion, excellence, and balance—both in her professional life and as an active sportsperson."
14,program,About Us - Top Neurons,Yogesh Sharma,https://www.topneurons.org/about-us/,Yogesh has been doing social services personally from last 32 years and also during his tenure in Lupin Foundation 31 years. He has keen interest in health and education sector and has worked in more than 15 health and education programs of the government.He has also interest in personality development and positive thinking.
15,program,About Us - Top Neurons,Shikha Saxena,https://www.topneurons.org/about-us/,"Shikha has been working with Pratham Shiksha which is a charitable organization for more than 15 years. Pratham Shiksha is in the field of education for underprivileged children. She has been involved in giving nursing training to children of slum area and many of them are working as a nurse in various hospitals. She always tries to do economic and social development for needy and poor children. She has done masters in Economic from University of Rajasthan. Her interests are classical music, art and craft. She has participated in many classical music programs and art exhibitions."
16,program,About Us - Top Neurons,Geetika Kaushik,https://www.topneurons.org/about-us/,Geetika has been doing work for children’s education in slum area and also give focus on women-empowerment. She has interest in Digital Marketing and reading Books.
17,program,About Us - Top Neurons,Khushboo Goyal,https://www.topneurons.org/about-us/,Khushboo has been working with Pratham Shiksha for more than 7 years in the field of education for underprivileged children. She has done Bachelor of Commerce from University of Rajasthan. She is a Positive Thinker and Problem Solver. She has keen interest in Dress Designing and Computers.
18,program,About Us - Top Neurons,Anjali Verma,https://www.topneurons.org/about-us/,"Anjali always tries to do for underprivileged students, Anjali has done masters in sociology from University of Rajasthan her interest are dancing, reading books and art and craft."
19,program,Program Details - Top Neurons,Top Neurons Parinde Pink City Program,https://www.topneurons.org/program-details/,"Students who will be selected in Top Neurons program will be provided 100% free coaching facility from top coaching institutes of India. The coaching classes will be provided in person only in Jaipur, Rajasthan. Books and study material will be provided free of cost by the coaching institute and trust. Free P.G. Accommodation in Jaipur will be provided to all selected students. The student will take admission in a school in Jaipur. Top Neurons will cover approximately 66% of the school fees, and the student will be required to pay only a nominal amount. Various programs will be organized under the program for continuous guidance to the selected students so that they can achieve their goals with enthusiasm and confidence and in future identify themselves as responsible citizens of the country. Top Neurons students who will be selected in the Top Institute, but they are unable to pay the institute fees, then they will be helped by Trust. Students who will be selected in Top Neurons program will be provided 100% free coaching facility from top coaching institutes of India. The coaching classes will be provided in person only in Jaipur, Rajasthan. Books and study material will be provided free of cost by the coaching institute and trust. Free P.G. Accommodation in Jaipur will be provided to all selected students. The student will take admission in a school in Jaipur. Top Neurons will cover approximately 66% of the school fees, and the student will be required to pay only a"
20,program,Program Details - Top Neurons,Top Neurons Parinde Pink City Program,https://www.topneurons.org/program-details/,"of cost by the coaching institute and trust. Free P.G. Accommodation in Jaipur will be provided to all selected students. The student will take admission in a school in Jaipur. Top Neurons will cover approximately 66% of the school fees, and the student will be required to pay only a nominal amount. Various programs will be organized under the program for continuous guidance to the selected students so that they can achieve their goals with enthusiasm and confidence and in future identify themselves as responsible citizens of the country. Top Neurons students who will be selected in the Top Institute, but they are unable to pay the institute fees, then they will be helped by Trust."
21,eligibility,Program Details - Top Neurons,Eligibility Criteria for Selection,https://www.topneurons.org/program-details/,"The student who has passed class 10th in year 2026 session from any medium. And wish to take Science stream (Physics, Chemistry, Maths and/or Biology) in standard 11th. Students who have scored in class 10th: 85%, Physically Handicapped Category: 80%. Student who can afford coaching fees with the help of themselves or their family/relatives, cannot attend this program, only students belonging to economically weaker section can participate The combined annual income and annual expenses both of the student parents should not exceed Rs 3.50 Lakhs. Student’s parent or guardian or siblings should not be a present or retired permanent employee of Government, PSU and Public Limited Company. Student whose parents are working as Labour in construction/factory, Rikshaw Pullers, Hawkers, Drivers, Tailors, Barbers, Plumbers, Security Guards, Peons, Domestic Workers, Contract Labour in Agriculture, Small Farmers and similar workers will be given priority in final selection. The widow’s son/daughter will be given priority. Girls will be given priority. The student who has passed class 10th in year 2026 session from any medium. And wish to take Science stream (Physics, Chemistry, Maths and/or Biology) in standard 11th. Students who have scored in class 10th: 85%, Physically Handicapped Category: 80%. Student who can afford coaching fees with the help of themselves or their family/relatives, cannot attend this program, only students belonging to economically weaker section can participate The combined annual income and annual expenses both of the student parents should not exceed Rs 3.50 Lakhs. Student’s parent or guardian or siblings should not be"
22,eligibility,Program Details - Top Neurons,Eligibility Criteria for Selection,https://www.topneurons.org/program-details/,"coaching fees with the help of themselves or their family/relatives, cannot attend this program, only students belonging to economically weaker section can participate The combined annual income and annual expenses both of the student parents should not exceed Rs 3.50 Lakhs. Student’s parent or guardian or siblings should not be a present or retired permanent employee of Government, PSU and Public Limited Company. Student whose parents are working as Labour in construction/factory, Rikshaw Pullers, Hawkers, Drivers, Tailors, Barbers, Plumbers, Security Guards, Peons, Domestic Workers, Contract Labour in Agriculture, Small Farmers and similar workers will be given priority in final selection. The widow’s son/daughter will be given priority. Girls will be given priority. The combined annual income and annual expenses both of the student parents should not exceed Rs 3.50 Lakhs. Student’s parent or guardian or siblings should not be a present or retired permanent employee of Government, PSU and Public Limited Company. Student whose parents are working as Labour in construction/factory, Rikshaw Pullers, Hawkers, Drivers, Tailors, Barbers, Plumbers, Security Guards, Peons, Domestic Workers, Contract Labour in Agriculture, Small Farmers and similar workers will be given priority in final selection. The widow’s son/daughter will be given priority. Girls will be given priority. The combined annual income and annual expenses both of the student parents should not exceed Rs 3.50 Lakhs. Student’s parent or guardian or siblings should not be a present or retired permanent employee of Government, PSU and Public Limited Company. Student whose parents are working as Labour in construction/factory,"
